Topic_Num,Project_Count,Keywords,Topic_Contrib,Hackathon_Count,Hackathon_Contrib
0.0,2853,"server, database, web, website, connect, set, trouble, backend, service, access",0.1176,343,0.9913
10.0,2381,"learn, experience, team, development, language, member, unity, technology, project, knowledge",0.0982,338,0.9769
6.0,1774,"hardware, device, sensor, camera, move, software, control, system, phone, wifi",0.0731,320,0.9249
9.0,1760,"datum, information, data, find, algorithm, provide, search, source, structure, base",0.0726,329,0.9509
5.0,1636,"time, lot, work, hour, code, spend, error, figure, bug, hard",0.0674,331,0.9566
7.0,1569,"challenge, run, big, face, main, integrate, major, manage, encounter, develop",0.0647,330,0.9538
14.0,1454,"make, create, game, skill, add, design, alexa, object, level, screen",0.0599,302,0.8728
2.0,1446,"work, end, project, start, make, hard, back, part, decide, front_end",0.0596,332,0.9595
4.0,1443,"problem, image, file, run, api, function, program, code, write, figure",0.0595,331,0.9566
13.0,1416,"user, app, application, create, make, build, interface, android, mobile, platform",0.0584,328,0.9480
1.0,1395,"test, system, number, real, input, video, base, audio, order, word",0.0575,318,0.9191
8.0,1353,"issue, due, library, documentation, run, lack, unable, version, network, support",0.0558,327,0.9451
11.0,1339,"time, difficult, model, large, machine, amount, prove, learning, set, task",0.0552,327,0.9451
12.0,1318,"implement, idea, feature, time, design, product, api, build, plan, complete",0.0543,319,0.9220
3.0,1119,"find, good, problem, solution, decide, people, research, concept, give, provide",0.0461,314,0.9075
